,movieId,title,listed_in,ratings,Prome_Raitings
447,hs572,bratz: the movie,"comedy, family, kids",242,4.43
448,ns412,chhota bheem and the crown of valhalla,children & family movies,249,4.43
449,hs617,the celebrity dating game,"game shows, reality",244,4.43
450,ns7227,krish trish and baltiboy,children & family movies,247,4.43
451,as2520,fahrenheit 11/9,"arthouse, documentary",242,4.43
452,ns3090,hot gimmick: girl meets boy,"dramas, international movies",263,4.43
453,as2516,fak yaass,lgbtq,264,4.43
454,ds865,donald's tire trouble,"animation, comedy, family",256,4.43
455,as465,the romanoffs,drama,250,4.43
456,ns3073,riot,action & adventure,261,4.43
457,ns8229,the brothers grimm,"action & adventure, sci-fi & fantasy",249,4.43
458,hs1656,the painter and the thief,"documentaries, international",246,4.43
459,ns6553,daemonium,"action & adventure, horror movies, international movies",252,4.43
